"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"AL691432.2",7.06929119309674,0.0492022636755529,3.11876100255198,0.0157762212735417,0.987412918751539,0.995852345407535,"FALSE"
"MIB2",108.144328328287,-2.58755544649629,3.01470984731686,-0.858309946079638,0.390721338815434,0.810317186289429,"FALSE"
"CDK11B",80.5426844688536,-1.40155249219019,2.94805346930096,-0.475416238811476,0.634490322264329,0.810317186289429,"FALSE"
"SLC35E2B",155.187844518279,-1.54485650303892,3.15867155146469,-0.489084248826873,0.624782052339122,0.810317186289429,"FALSE"
"AL691432.1",3.79154111776529,-2.71963981071081,2.5349266075422,-1.07286727853147,0.283330669213528,0.810317186289429,"FALSE"
"CDK11A",4.32102977970287,-2.23328112778564,2.5675972853681,-0.869794161456854,0.384412902750538,0.810317186289429,"FALSE"
"AL031282.2",5.32417581422499,-1.30835198260094,2.61394598655382,-0.500527550810586,0.616703661759492,0.810317186289429,"FALSE"
"SLC35E2A",55.0693057813503,-2.57719655806986,2.56652998882902,-1.00415602751079,0.315303413330065,0.810317186289429,"FALSE"
"NADK",169.364303060512,-1.28049232705269,3.17484346194396,-0.403324555179373,0.686709479906296,0.810317186289429,"FALSE"
"GNB1",902.168245406852,-1.27369725573775,3.52958017072753,-0.360863670501415,0.718201362921405,0.832913571756098,"FALSE"
"CALML6",3.06241528028235,0.00544706885378891,2.45851550516481,0.00221559263805569,0.998232214287366,0.998232214287366,"FALSE"
"FAAP20",80.5102447477714,-1.82293229063562,2.93469502693541,-0.62116583628086,0.534490515235214,0.810317186289429,"FALSE"
"SKI",248.300993441843,-1.63576635921468,3.08214970978702,-0.530722551867121,0.595611055926455,0.810317186289429,"FALSE"
"MORN1",6.85395639804764,-1.2317012137625,2.69581707838323,-0.456893467898495,0.647747619293007,0.810317186289429,"FALSE"
"AL513477.1",5.83340635411603,-0.351522515982101,2.66942336838635,-0.131684812587295,0.895233598695795,0.960341496782762,"FALSE"
"RER1",243.216609324656,-1.60435553102413,3.09538556318587,-0.518305554598788,0.604245098050228,0.810317186289429,"FALSE"
"PEX10",19.4139589520015,-1.78685087933685,2.82877263988496,-0.631670023296574,0.527602519942893,0.810317186289429,"FALSE"
"PANK4",38.5199447689153,-2.54125825832198,2.80006595276131,-0.907570857684939,0.364104997044496,0.810317186289429,"FALSE"
"TNFRSF14",58.7467229862835,-2.78398585594619,2.82504338940719,-0.985466583056762,0.324394938020272,0.810317186289429,"FALSE"
"FAM213B",48.1769493876351,-1.66232870921139,2.84181468413579,-0.584953240790546,0.558579158024312,0.810317186289429,"FALSE"
"PRDM16",6.03836918069172,-2.80103473832398,2.65601705664403,-1.05459968011771,0.291608450157611,0.810317186289429,"FALSE"
"MEGF6",54.3286146846645,-0.346414302324487,2.89411401713591,-0.119696148898552,0.904723851160608,0.961778508441007,"FALSE"
"TPRG1L",199.355566775372,-1.03636875528101,3.17512709420708,-0.326402290217556,0.744120004990249,0.844290005662014,"FALSE"
"WRAP73",39.4950354919673,-1.8160035478482,2.82156736033734,-0.643615167008127,0.519825012617978,0.810317186289429,"FALSE"
"TP73-AS1",96.1015599849609,-1.55264343513884,3.01010172898727,-0.51581095090139,0.605986453348144,0.810317186289429,"FALSE"
"SMIM1",2.9884148330323,-5.16385647342504,2.78734095397855,-1.85261026859823,0.0639382395756868,0.343183581666932,"FALSE"
"LRRC47",87.6649528386663,-1.33007680537078,2.9795312401243,-0.446404718789016,0.655304924828761,0.810317186289429,"FALSE"
"CEP104",79.5274600759523,-1.37626183609884,2.94520229808985,-0.467289407247656,0.640292834054201,0.810317186289429,"FALSE"
"DFFB",13.2001093125228,-1.56547139834862,2.81876374852756,-0.555375170823156,0.578638071987864,0.810317186289429,"FALSE"
"C1orf174",41.7397745907442,-1.38328181387578,2.83875880798206,-0.487284023562076,0.626057068014908,0.810317186289429,"FALSE"
"NPHP4",33.7680522261748,-3.45835385219875,2.76279668031496,-1.25175836384909,0.210657925952598,0.671827980065041,"FALSE"
"KCNAB2",26.6386656547782,-1.22918199881767,2.83921412385609,-0.432930362134243,0.665065361533573,0.810317186289429,"FALSE"
"RPL22",1193.19192296416,-1.61578913038324,3.54981364009803,-0.455175762505272,0.648982796060366,0.810317186289429,"FALSE"
"RNF207",5.5693755513065,-0.229993145016267,2.67704127989769,-0.0859131858530986,0.931535429473485,0.968203247140005,"FALSE"
"ICMT",218.600438246803,-0.326447063588377,3.74170272680141,-0.0872455904233312,0.930476301570859,0.968203247140005,"FALSE"
"GPR153",52.157176193654,-1.98135731704953,3.36879917239306,-0.588149431193922,0.55643199652943,0.810317186289429,"FALSE"
"ACOT7",27.202124334773,1.1561289694242,3.33141121256103,0.347038805976589,0.728562165367244,0.834663451585775,"FALSE"
"NOL9",8.98409264483364,3.45041004027147,2.96288974988726,1.16454216374496,0.244204366654103,0.758318822768004,"FALSE"
"ZBTB48",8.49017715020257,6.51654773054294,3.56972889673379,1.82550213729267,0.067925288954032,0.343183581666932,"FALSE"
"KLHL21",103.908675993522,6.35364702347068,3.19784762828974,1.98685108297943,0.046938901812402,0.328879820849698,"FALSE"
"PHF13",24.9559752596863,8.07332668581479,3.6793725111179,2.1942129157675,0.0282201064786195,0.277497713706426,"FALSE"
"THAP3",5.40284000467436,5.8630349683901,3.39682944640414,1.7260316012029,0.0843417276978053,0.343183581666932,"FALSE"
"DNAJC11",19.8104133504727,7.74005184523075,3.68252417623342,2.10183327381369,0.0355678832989554,0.322846940713595,"FALSE"
"CAMTA1",6.4319523865171,6.11524182302918,3.47015860712965,1.76223697973489,0.0780292665474694,0.343183581666932,"FALSE"
"VAMP3",131.469106780409,23.8540392432394,3.99115031693728,5.97673285869734,2.27657058256912e-09,6.71588321857891e-08,"Upregulation"
"PER3",3.08733714552821,5.05182805142694,3.11613872255428,1.62118201441494,0.104978608856868,0.387108620159701,"FALSE"
"PARK7",61.2115460233525,6.32924221666619,3.10531558439567,2.03819613325965,0.0415303220585323,0.328879820849698,"FALSE"
"ERRFI1",217.657268759739,24.5391675307319,4.00768698164021,6.12302498751758,9.18152891102159e-10,3.61140137166849e-08,"Upregulation"
"AL034417.1",31.1306495507428,8.39238918051774,3.67396879832329,2.2842842825306,0.0223548290098895,0.277497713706426,"FALSE"
"SLC45A1",8.23289905474189,6.47208291155686,3.55989993097602,1.81805192197703,0.0690561973169869,0.343183581666932,"FALSE"
"RERE",86.1881619793291,21.6816527323153,3.82244329601903,5.67219734950578,1.40977436152122e-08,3.32706749319009e-07,"Upregulation"
"RPL7P11",41.6790514646308,8.81349123545101,3.67836215561601,2.39603683992748,0.0165734244633515,0.255682910362377,"FALSE"
"RPL7P7",5.66011810013505,5.93034530168832,3.41715011272987,1.73546525790484,0.0826584300109208,0.343183581666932,"FALSE"
"ENO1",378.970634613587,25.2596992394531,3.47371179880059,7.27167384702865,3.5506004123921e-13,4.18970848662268e-11,"Upregulation"
"HMGN2P17",13.3784609639556,7.17333921288688,3.66261795639981,1.95852783399171,0.0501681082652082,0.328879820849698,"FALSE"
"SLC2A5",3.08733714552821,5.05182805142694,3.11613872255428,1.62118201441494,0.104978608856868,0.387108620159701,"FALSE"
"GPR157",3.7700389080724,0.991731823292582,2.35051749328246,0.421920630723596,0.673082950887443,0.810317186289429,"FALSE"
"MIR34AHG",10.0338457229667,6.75788725568836,3.61472885879624,1.86954195450744,0.061547452336488,0.343183581666932,"FALSE"
"H6PD",263.957719122676,10.0497540517951,3.66906652672748,2.7390492864022,0.00616171355468106,0.121180366575394,"FALSE"
"SPSB1",27.7860343097539,8.2283588803967,3.67628603189644,2.23822597289908,0.0252063227306481,0.277497713706426,"FALSE"
"SLC25A33",3.0763032692238,2.34204966382172,2.62573562252888,0.891959435568027,0.372414675275155,0.810317186289429,"FALSE"
"AL954705.1",5.91739619559573,5.99464936752611,3.43606183150432,1.74462790877708,0.081049659518649,0.343183581666932,"FALSE"
"TMEM201",3.08733714552821,5.05182805142694,3.11613872255428,1.62118201441494,0.104978608856868,0.387108620159701,"FALSE"
"PIK3CD",14.1502952503376,7.25432312951941,3.66821202938134,1.97761827054007,0.0479717865494802,0.328879820849698,"FALSE"
"CLSTN1",239.268628778436,24.6700350792629,3.96391385125854,6.22365571124362,4.85702299480758e-10,2.86564356693647e-08,"Upregulation"
"CTNNBIP1",6.94650857743847,6.22651790007888,3.49997745684061,1.77901657278087,0.0752370449433529,0.343183581666932,"FALSE"
"LZIC",7.46106476835983,6.32981579120583,3.5261917345171,1.79508553923619,0.0726400723718336,0.343183581666932,"FALSE"
"NMNAT1",11.5664804194264,4.45570213198718,3.07266142180304,1.45011165251412,0.14702738619301,0.525734290023492,"FALSE"
